pitch;roll;lado;movimento;sessao
-0.174709;-1.146994;E;Repouso;2614399820
-0.086544;1.279728;D;Repouso;2614399820
-0.175876;-1.145797;E;Repouso;2614399820
-0.088785;1.283375;D;Repouso;2614399820
-0.175876;-1.145797;E;Repouso;2614399820
-0.089936;1.28645;D;Repouso;2614399820
-0.175885;-1.147474;E;Repouso;2614399820
-0.088157;1.282412;D;Repouso;2614399820
-0.17489;-1.143008;E;Repouso;2614399820
-0.087856;1.284812;D;Repouso;2614399820
-0.175605;-1.146939;E;Repouso;2614399820
-0.088885;1.285525;D;Repouso;2614399820
-0.175292;-1.146396;E;Repouso;2614399820
-0.088815;1.284516;D;Repouso;2614399820
-0.176011;-1.148604;E;Repouso;2614399820
-0.088209;1.283427;D;Repouso;2614399820
-0.176011;-1.148604;E;Repouso;2614399820
-0.088198;1.284704;D;Repouso;2614399820
-0.177901;-1.145583;E;Repouso;2614399820
-0.087129;1.284127;D;Repouso;2614399820
-0.175241;-1;E;Dorsiflexao;2614399820
-0.088059;1.28269;D;Dorsiflexao;2614399820
-0.175241;-1;E;Dorsiflexao;2614399820
-0.088059;1.28269;D;Dorsiflexao;2614399820
-0.176991;-1.146106;E;Dorsiflexao;2614399820
-0.08849;1.285309;D;Dorsiflexao;2614399820
-0.176991;-1.146106;E;Dorsiflexao;2614399820
-0.08849;1.285309;D;Dorsiflexao;2614399820
-0.174486;-1.146471;E;Dorsiflexao;2614399820
-0.087892;1.283697;D;Dorsiflexao;2614399820
-0.175939;-1.147591;E;Dorsiflexao;2614399820
-0.0871;1.282986;D;Dorsiflexao;2614399820
-0.175045;-1;E;Dorsiflexao;2614399820
-0.088861;1.284611;D;Dorsiflexao;2614399820
-0.175045;-1;E;Dorsiflexao;2614399820
-0.088861;1.284611;D;Dorsiflexao;2614399820
-0.174787;-1.14696;E;Dorsiflexao;2614399820
-0.08769;1.283333;D;Dorsiflexao;2614399820
-0.176579;-1.145387;E;Dorsiflexao;2614399820
-0.089008;1.285403;D;Dorsiflexao;2614399820
-0.17493;-1.14521;E;Flexao;2614399820
-0.089019;1.282682;D;Flexao;2614399820
-0.176969;-1.145214;E;Flexao;2614399820
-0.08899;1.284718;D;Flexao;2614399820
-0.175529;-1.146451;E;Flexao;2614399820
-0.087839;1.28586;D;Flexao;2614399820
-0.175709;-1.146492;E;Flexao;2614399820
-0.087721;1.283723;D;Flexao;2614399820
-0.177238;-1.145797;E;Flexao;2614399820
-0.088339;1.283536;D;Flexao;2614399820
-0.177238;-1.145797;E;Flexao;2614399820
-0.088148;1.283629;D;Flexao;2614399820
-0.177132;-1.14384;E;Flexao;2614399820
-0.086189;1.280138;D;Flexao;2614399820
-0.176212;-1.147132;E;Flexao;2614399820
-0.088312;1.28586;D;Flexao;2614399820
-0.173434;-1.146856;E;Flexao;2614399820
-0.088697;1.285899;D;Flexao;2614399820
-0.175979;-1.146973;E;Flexao;2614399820
-0.087946;1.282631;D;Flexao;2614399820
-0.177046;-1.1444;E;Eversao;2614399820
-0.088236;1.284624;D;Eversao;2614399820
-0.177581;-1.144362;E;Eversao;2614399820
-0.087386;1.28406;D;Eversao;2614399820
-0.177404;-1.146726;E;Eversao;2614399820
-0.087257;1.283256;D;Eversao;2614399820
-0.177276;-1.143975;E;Eversao;2614399820
-0.087872;1.283764;D;Eversao;2614399820
-0.176726;-1.145001;E;Eversao;2614399820
-0.085773;1.283172;D;Eversao;2614399820
-0.1763;-1.144847;E;Eversao;2614399820
-0.089891;1.285604;D;Eversao;2614399820
-0.176715;-1.14;E;Eversao;2614399820
-0.087742;1.285443;D;Eversao;2614399820
-0.174871;-1.146822;E;Eversao;2614399820
-0.087945;1.283323;D;Eversao;2614399820
-0.175639;-1.146162;E;Eversao;2614399820
-0.088381;1.282648;D;Eversao;2614399820
-0.177535;-1.147123;E;Eversao;2614399820
-0.088625;1.284611;D;Eversao;2614399820
-0.176973;-1.144691;E;Inversao;2614399820
-0.088354;1.284973;D;Inversao;2614399820
-0.175589;-1.146726;E;Inversao;2614399820
-0.086419;1.282394;D;Inversao;2614399820
-0.176135;-1.146643;E;Inversao;2614399820
-0.087598;1.283147;D;Inversao;2614399820
-0.17618;-1.14508;E;Inversao;2614399820
-0.087356;1.287135;D;Inversao;2614399820
-0.176619;-1.144768;E;Inversao;2614399820
-0.086545;1.284758;D;Inversao;2614399820
-0.174551;-1.143;E;Inversao;2614399820
-0.086466;1.284221;D;Inversao;2614399820
-0.17535;-1.144788;E;Inversao;2614399820
-0.087959;1.285458;D;Inversao;2614399820
-0.176895;-1.142583;E;Inversao;2614399820
-0.089249;1.283899;D;Inversao;2614399820
-0.175953;-1.143878;E;Inversao;2614399820
-0.087531;1.283872;D;Inversao;2614399820
-0.175131;-1.14887;E;Inversao;2614399820
-0.086852;1.28253;D;Inversao;2614399820
-0.177595;-1.145097;E;Repouso;2614409427
-0.085959;1.280365;D;Repouso;2614409427
-0.176924;-1.145253;E;Repouso;2614409427
-0.085663;1.285537;D;Repouso;2614409427
-0.176924;-1.145253;E;Repouso;2614409427
-0.084948;1.283577;D;Repouso;2614409427
-0.176684;-1.1457;E;Repouso;2614409427
-0.086374;1.282302;D;Repouso;2614409427
-0.174609;-1.145038;E;Repouso;2614409427
-0.085532;1.284678;D;Repouso;2614409427
-0.174868;-1.147345;E;Repouso;2614409427
-0.08616;1.285698;D;Repouso;2614409427
-0.177239;-1.146898;E;Repouso;2614409427
-0.085609;1.284235;D;Repouso;2614409427
-0.174649;-1.147921;E;Repouso;2614409427
-0.086658;1.281642;D;Repouso;2614409427
-0.174649;-1.147921;E;Repouso;2614409427
-0.087108;1.282462;D;Repouso;2614409427
-0.175248;-1.147537;E;Repouso;2614409427
-0.086777;1.283779;D;Repouso;2614409427
-0.176068;-1.149407;E;Dorsiflexao;2614409427
-0.0846;1.284382;D;Dorsiflexao;2614409427
-0.174548;-1.147846;E;Dorsiflexao;2614409427
-0.08752;1.285147;D;Dorsiflexao;2614409427
-0.17665;-1.148124;E;Dorsiflexao;2614409427
