pitch;roll;lado;movimento;sessao
-0.075922;1.236127;D;Repouso;2702090105
-0.074102;1.233667;D;Repouso;2702090105
-0.072825;1.235;D;Repouso;2702090105
-0.073934;1.234099;D;Repouso;2702090105
-0.074663;1.233722;D;Repouso;2702090105
-0.072038;1.235963;D;Repouso;2702090105
-0.074071;1.23605;D;Repouso;2702090105
-0.074287;1.237278;D;Repouso;2702090105
-0.073246;1.236774;D;Repouso;2702090105
-0.073246;1.236774;D;Repouso;2702090105
-0.365325;1.229462;D;Dorsiflexao;2702090105
-0.355816;1.22849;D;Dorsiflexao;2702090105
-0.371269;1.215093;D;Dorsiflexao;2702090105
-0.389924;1.224676;D;Dorsiflexao;2702090105
-0.391748;1.23645;D;Dorsiflexao;2702090105
-0.375276;1.20788;D;Dorsiflexao;2702090105
-0.394796;1.215958;D;Dorsiflexao;2702090105
-0.382643;1.21;D;Dorsiflexao;2702090105
-0.388296;1.219809;D;Dorsiflexao;2702090105
-0.391941;1.212026;D;Dorsiflexao;2702090105
0.245008;1.270388;D;Flexao;2702090105
0.245008;1.270388;D;Flexao;2702090105
0.305245;1.283134;D;Flexao;2702090105
0.302295;1.267087;D;Flexao;2702090105
0.287366;1.296107;D;Flexao;2702090105
0.29932;1.270574;D;Flexao;2702090105
0.291484;1.28417;D;Flexao;2702090105
0.294754;1.27547;D;Flexao;2702090105
0.292344;1.290662;D;Flexao;2702090105
0.293589;1.289538;D;Flexao;2702090105
-0.121907;0.937348;D;Eversao;2702090105
-0.124304;0.931692;D;Eversao;2702090105
-0.124304;0.931692;D;Eversao;2702090105
-0.124;0.938325;D;Eversao;2702090105
-0.123102;0.934571;D;Eversao;2702090105
-0.123102;0.934571;D;Eversao;2702090105
-0.125967;0.938253;D;Eversao;2702090105
-0.12322;0.939097;D;Eversao;2702090105
-0.123909;0.939773;D;Eversao;2702090105
-0.118487;0.93911;D;Eversao;2702090105
-0.057682;1.626822;D;Inversao;2702090105
-0.057682;1.626822;D;Inversao;2702090105
-0.078877;1.521716;D;Inversao;2702090105
-0.068271;1.592166;D;Inversao;2702090105
-0.074711;1.573541;D;Inversao;2702090105
-0.073498;1.554822;D;Inversao;2702090105
-0.071552;1.562086;D;Inversao;2702090105
-0.076751;1.563281;D;Inversao;2702090105
-0.073568;1.552308;D;Inversao;2702090105
-0.072365;1.559337;D;Inversao;2702090105
-0.082318;1.456647;D;Repouso;2702090105
-0.072782;1.228376;D;Repouso;2702090105
-0.075926;1.248227;D;Repouso;2702090105
-0.076143;1.24979;D;Repouso;2702090105
-0.075418;1.252619;D;Repouso;2702090105
-0.074371;1.245181;D;Repouso;2702090105
-0.075069;1.239651;D;Repouso;2702090105
-0.074774;1.240181;D;Repouso;2702090105
-0.074774;1.240181;D;Repouso;2702090105
-0.075958;1.242116;D;Repouso;2702090105
-0.503193;0.994238;D;Dorsiflexao;2702090105
-0.373496;1.22569;D;Dorsiflexao;2702090105
-0.370915;1.224494;D;Dorsiflexao;2702090105
-0.390596;1.214252;D;Dorsiflexao;2702090105
-0.343598;1.216458;D;Dorsiflexao;2702090105
-0.354841;1.22928;D;Dorsiflexao;2702090105
-0.367202;1.208066;D;Dorsiflexao;2702090105
-0.386561;1.201163;D;Dorsiflexao;2702090105
-0.339419;1.229395;D;Dorsiflexao;2702090105
-0.349028;1.2;D;Dorsiflexao;2702090105
0.208899;1.249399;D;Flexao;2702090105
0.447935;1.240326;D;Flexao;2702090105
0.293961;1.314914;D;Flexao;2702090105
0.248088;1.283557;D;Flexao;2702090105
0.312864;1.278586;D;Flexao;2702090105
0.275159;1.261509;D;Flexao;2702090105
0.276431;1.309854;D;Flexao;2702090105
0.322151;1.244903;D;Flexao;2702090105
0.289671;1.25984;D;Flexao;2702090105
0.284492;1.282413;D;Flexao;2702090105
-0.148401;1.001491;D;Eversao;2702090105
-0.158736;0.899003;D;Eversao;2702090105
-0.129952;0.920105;D;Eversao;2702090105
-0.141204;0.92887;D;Eversao;2702090105
-0.141203;0.919069;D;Eversao;2702090105
-0.134899;0.951979;D;Eversao;2702090105
-0.136483;0.94276;D;Eversao;2702090105
-0.131251;0.958259;D;Eversao;2702090105
-0.131251;0.958259;D;Eversao;2702090105
-0.128227;0.945352;D;Eversao;2702090105
-0.092859;1.52804;D;Inversao;2702090105
-0.086264;1.547435;D;Inversao;2702090105
-0.09151;1.542008;D;Inversao;2702090105
-0.062675;1.553725;D;Inversao;2702090105
-0.062675;1.553725;D;Inversao;2702090105
-0.083084;1.533611;D;Inversao;2702090105
-0.06927;1.5;D;Inversao;2702090105
-0.06927;1.5;D;Inversao;2702090105
-0.067262;1.560028;D;Inversao;2702090105
-0.068136;1.56183;D;Inversao;2702090105
-0.055883;1.129389;D;Repouso;2702090105
-0.070311;1.23933;D;Repouso;2702090105
-0.074289;1.2232;D;Repouso;2702090105
-0.077997;1.219146;D;Repouso;2702090105
-0.074426;1.233845;D;Repouso;2702090105
-0.07528;1.232625;D;Repouso;2702090105
-0.075631;1.23;D;Repouso;2702090105
-0.077738;1.231387;D;Repouso;2702090105
-0.075909;1.229967;D;Repouso;2702090105
-0.075534;1.227788;D;Repouso;2702090105
-0.340577;1.148438;D;Dorsiflexao;2702090105
-0.429855;1.200369;D;Dorsiflexao;2702090105
-0.41072;1.17446;D;Dorsiflexao;2702090105
-0.358237;1;D;Dorsiflexao;2702090105
-0.358237;1;D;Dorsiflexao;2702090105
-0.352705;1.197011;D;Dorsiflexao;2702090105
-0.33973;1.185985;D;Dorsiflexao;2702090105
-0.355011;1.183819;D;Dorsiflexao;2702090105
-0.405105;1.205819;D;Dorsiflexao;2702090105
-0.354015;1.196487;D;Dorsiflexao;2702090105
0.243437;1.201687;D;Flexao;2702090105
0.32089;1.208357;D;Flexao;2702090105
